date,ticker,d2c,shorts,volume
2023-03-31,CRIS,6.93,2229215,321602
2023-04-14,CRIS,4.21,2342166,556166
2023-04-28,CRIS,3.61,1993508,552064
2023-05-15,CRIS,7.06,1978707,280221
2023-05-31,CRIS,10.16,1880851,185199
2023-06-15,CRIS,6.54,1737862,265846
2023-06-30,CRIS,6.83,1718477,251469
2023-07-14,CRIS,2.95,1575919,533324
2023-07-31,CRIS,5.21,1264461,242825
2023-08-15,CRIS,3.26,1247623,382381
2023-08-31,CRIS,4.02,1156400,287659
2023-09-15,CRIS,4.33,1333294,308273
2023-09-29,CRIS,2.26,81215,35926
2023-10-13,CRIS,2.03,73388,36231
2023-10-31,CRIS,3.57,83119,23252
2023-11-15,CRIS,3.19,82995,26016
2023-11-30,CRIS,1.0,114461,326700
2023-12-15,CRIS,1.39,125465,90577
2023-12-29,CRIS,2.01,90744,45041
2024-01-12,CRIS,1.31,53968,41300
2024-01-31,CRIS,1.0,47486,50169
2024-02-15,CRIS,1.4,55001,39332
2024-02-29,CRIS,1.91,56039,29381
2024-03-15,CRIS,2.47,47893,19359
2024-03-28,CRIS,2.86,50100,17495
2024-04-15,CRIS,1.07,59357,55280
2024-04-30,CRIS,4.78,67310,14089
2024-05-15,CRIS,2.9,65322,22557
2024-05-31,CRIS,2.47,62834,25486
2024-06-14,CRIS,1.0,45287,45884
2024-06-28,CRIS,1.14,38483,33746
2024-07-15,CRIS,1.52,42664,28081
2024-07-31,CRIS,2.01,51956,25836
2024-08-15,CRIS,2.17,68689,31586
2024-08-30,CRIS,1.28,146425,114347
2024-09-13,CRIS,5.07,143374,28267
2024-09-30,CRIS,3.1,121935,39356
2024-10-15,CRIS,3.58,108242,30253
2024-10-31,CRIS,3.61,137033,37983
2024-11-15,CRIS,1.73,162502,93756
2024-11-29,CRIS,1.05,74125,70696
2024-12-13,CRIS,1.0,44941,64492
2024-12-31,CRIS,1.0,81648,110440
2025-01-15,CRIS,1.0,199683,405282
2025-01-31,CRIS,4.34,164629,37914
2025-02-14,CRIS,5.93,160752,27110
