date,ticker,close,d2c,shorts,volume,trend_score,news_volume,wiki_views
2021-12-15,AG,10.35,3.79,17651054,4660097,47.5,1,671
2021-12-31,AG,11.11,4.5,18074877,4014640,45.5,1,485
2022-01-14,AG,10.7,5.05,18120167,3589139,54.0,0,583
2022-01-31,AG,10.16,2.46,17403731,7079151,52.5,6,750
2022-02-15,AG,11.5,3.79,16768843,4424291,54.5,0,661
2022-02-28,AG,11.24,2.33,15163719,6505916,52.5,0,586
2022-03-15,AG,13.3,1.73,15510637,8966473,51.0,4,857
2022-03-31,AG,13.16,2.9,16339772,5642047,50.5,1,755
2022-04-14,AG,14.24,2.8,13752921,4917709,50.5,0,708
2022-04-29,AG,10.3,2.37,15159526,6390907,52.5,1,558
2022-05-13,AG,8.17,2.01,15706723,7828196,48.0,2,634
2022-05-31,AG,7.97,2.62,15913504,6069306,44.5,1,731
2022-06-15,AG,7.98,2.7,17038523,6315755,46.5,1,658
2022-06-30,AG,7.18,3.05,15869835,5195109,46.5,3,636
2022-07-15,AG,6.89,2.37,16093768,6780960,45.0,3,550
2022-07-29,AG,7.66,2.59,17445851,6730462,45.0,3,484
2022-08-15,AG,8.13,3.39,18997290,5596268,50.5,2,632
2022-08-31,AG,7.28,4.18,18663436,4467755,49.0,1,621
2022-09-15,AG,7.71,3.0,18700639,6242021,49.5,0,624
2022-09-30,AG,7.62,2.2,17919007,8145325,53.5,3,559
2022-10-14,AG,7.6,1.88,17288074,9175100,47.5,3,514
2022-10-31,AG,8.43,2.26,15548655,6885741,46.5,2,558
2022-11-15,AG,9.2,1.6,14270211,8921645,48.5,2,582
2022-11-30,AG,9.29,2.71,13481801,4983168,43.0,7,508
2022-12-15,AG,8.48,2.21,13747615,6224366,44.5,2,523
2022-12-30,AG,8.34,2.69,13703628,5095476,39.5,2,505
2023-01-13,AG,8.77,2.08,11924087,5745401,46.0,0,452
2023-01-31,AG,7.89,1.6,10474350,6548441,49.5,2,667
2023-02-15,AG,7.13,1.97,11227056,5696412,51.5,0,506
2023-02-28,AG,6.1,1.86,14496859,7791243,52.5,2,537
2023-03-15,AG,6.92,2.09,15648100,7500871,51.0,2,686
2023-03-31,AG,7.21,1.39,14682242,10599885,52.0,10,827
2023-04-14,AG,7.37,2.15,14851988,6906027,50.5,1,630
2023-04-28,AG,7.06,2.79,14879829,5340834,51.5,1,584
2023-05-15,AG,6.43,2.77,16423177,5918451,49.5,1,599
2023-05-31,AG,5.77,4.26,17171181,4027415,49.0,0,522
2023-06-15,AG,5.59,4.23,15455379,3653838,47.5,0,478
2023-06-30,AG,5.65,3.92,15504446,3960065,44.5,0,466
2023-07-14,AG,6.53,3.33,16233322,4870808,46.0,0,461
2023-07-31,AG,6.68,3.44,16658572,4838161,48.0,3,530
2023-08-15,AG,5.89,3.54,17043512,4810790,49.5,4,460
2023-08-31,AG,6.13,4.72,17701878,3753710,50.0,1,434
2023-09-15,AG,5.8,4.44,17442970,3925896,52.0,3,433
2023-09-29,AG,5.13,3.5,18140766,5185693,53.0,2,460
2023-10-13,AG,5.39,3.21,18600188,5792452,49.5,4,394
2023-10-31,AG,5.15,3.2,17357738,5427720,49.0,0,542
2023-11-15,AG,5.11,2.46,18878196,7680623,50.0,2,516
2023-11-30,AG,5.97,3.19,17520837,5486356,45.0,0,517
2023-12-15,AG,6.11,2.7,16705668,6182354,48.5,0,520
2023-12-29,AG,6.15,2.85,17209370,6041803,42.0,0,564
2024-01-12,AG,5.6,2.77,18233841,6582473,47.0,0,468
2024-01-31,AG,4.62,2.09,18574087,8884299,52.0,3,733
2024-02-15,AG,4.52,3.25,20464021,6294084,55.0,3,547
2024-02-29,AG,4.49,3.23,20351771,6301341,55.5,4,471
2024-03-15,AG,5.64,2.28,19950210,8735696,61.5,0,612
2024-03-28,AG,5.88,2.63,19928216,7576487,53.0,2,505
2024-04-15,AG,7.49,1.16,17945920,15457154,52.0,3,1048
2024-04-30,AG,6.67,1.91,17296931,9069697,52.5,1,600
2024-05-15,AG,7.46,2.32,18382115,7917620,51.0,2,553
2024-05-31,AG,7.16,2.09,17112641,8204399,46.5,5,849
2024-06-14,AG,6.11,2.58,16456229,6367618,49.5,3,528
2024-06-28,AG,5.92,4.38,17638693,4028515,47.5,0,442
2024-07-15,AG,6.46,3.16,15662343,4962023,48.5,1,535
2024-07-31,AG,6.18,3.4,16972716,4993117,49.5,4,506
2024-08-15,AG,5.5,2.24,17531708,7837409,51.5,4,563
2024-08-30,AG,5.59,3.07,16784582,5474539,51.0,1,590
2024-09-13,AG,6.13,2.13,24857335,11647071,52.0,10,596
2024-09-30,AG,6.0,2.31,28420753,12317303,53.0,0,739
2024-10-15,AG,6.58,3.44,30412428,8852932,51.0,0,570
2024-10-31,AG,7.38,2.62,31318277,11959729,51.5,5,746
2024-11-15,AG,6.34,3.02,36470243,12076288,59.5,1,503
2024-11-29,AG,6.11,4.67,37127587,7952958,56.5,0,463
2024-12-13,AG,6.03,4.27,37814197,8849240,50.0,5,498
2024-12-31,AG,5.49,4.1,39380247,9614361,42.0,1,679
2025-01-15,AG,5.64,2.66,40532579,15225916,53.0,5,543
2025-01-31,AG,5.7,1.24,22846703,18473172,54.5,5,626
2025-02-14,AG,5.44,1.22,24372709,19960576,61.0,2,618
2025-02-28,AG,5.37,1.26,26768132,21176560,58.0,5,614
2025-03-14,AG,6.68,1.05,22419701,21432160,56.5,2,750
2025-03-31,AG,6.69,1.13,22740389,20211750,55.0,1,838
2025-04-15,AG,6.6,1.0,18093885,22975514,53.5,5,738
2025-04-30,AG,6.26,1.18,22959417,19513621,54.0,0,1582
2025-05-15,AG,5.66,1.05,25198607,24049871,55.5,3,730
2025-05-30,AG,6.17,1.27,24408569,19256873,50.5,3,621
2025-06-13,AG,8.34,1.0,26711331,33412157,54.0,0,995
2025-06-30,AG,8.27,1.0,23637056,26378768,52.5,3,877
2025-07-15,AG,8.93,1.0,22980601,24290469,57.5,5,713
2025-07-31,AG,7.95,1.37,19613512,14290873,63.5,0,681
2025-08-15,AG,8.85,1.56,24484519,15682753,63.0,3,563
2025-08-29,AG,9.14,1.2,18779022,15707293,82.0,2,465
2025-09-15,AG,10.79,1.0,22285144,24936132,56.5,2,889
2020-10-30,AMC,23.6,1.88,23890070,12731999,9.5,72,12
2020-11-13,AMC,29.7,1.1,29260504,26487919,7.0,56,10
2020-11-30,AMC,42.7,1.29,33513585,26002367,7.5,13,17
2020-12-15,AMC,28.6,1.38,38083639,27613378,6.5,49,14
2020-12-31,AMC,21.2,1.88,38993059,20697894,9.0,17,16
2021-01-15,AMC,23.3,1.21,44671962,37005590,7.0,18,13
2021-01-29,AMC,132.6,1.0,37716302,390644584,54.0,151,31
2021-02-12,AMC,55.9,1.0,48134561,191894754,46.5,108,17
2021-02-26,AMC,80.1,1.0,55490440,170187693,21.0,53,15
2021-03-15,AMC,140.4,1.0,49306459,103335355,24.0,86,14
2021-03-31,AMC,102.1,1.0,73824070,85845893,20.0,66,15
2021-04-15,AMC,99.0,2.06,93888195,45557607,15.5,46,17
2021-04-30,AMC,100.3,2.35,87551755,37214815,17.5,29,9
2021-05-14,AMC,129.8,1.57,94577063,60170367,18.0,65,8
2021-05-28,AMC,261.2,1.0,102303320,194737611,35.5,99,9
2021-06-15,AMC,590.4,1.0,85076339,359533859,53.0,316,23
2021-06-30,AMC,566.8,1.0,75479862,142292531,38.0,95,22
2021-07-15,AMC,360.0,1.0,79747897,99636441,36.0,114,15
2021-07-30,AMC,370.2,1.0,85845513,98418632,28.5,76,10
2021-08-13,AMC,334.7,1.21,92417118,76383750,25.5,99,10
2021-08-31,AMC,471.3,1.0,95943759,105520739,25.5,71,13
2021-09-15,AMC,468.4,1.22,97130969,79573617,24.5,51,16
2021-09-30,AMC,380.6,1.66,91042415,54969157,20.5,46,21
2021-10-15,AMC,407.4,2.22,92239378,41512289,25.0,42,16
2021-10-29,AMC,353.7,2.66,94637512,35552514,22.0,29,13
2021-11-15,AMC,426.8,2.07,87462304,42178712,23.0,67,21
2021-11-30,AMC,339.4,3.12,83406245,26730397,24.5,22,17
2021-12-15,AMC,246.6,1.6,96700247,60336885,26.5,56,14
2021-12-31,AMC,272.0,1.97,94750342,48096118,38.0,42,12
2022-01-14,AMC,205.7,2.35,97034798,41324600,20.0,39,9
2022-01-31,AMC,160.6,1.94,107800655,55478718,16.0,47,16
2022-02-15,AMC,194.8,1.75,104191445,59536582,20.0,48,14
2022-02-28,AMC,188.6,2.47,101327657,41096878,21.5,18,10
2022-03-15,AMC,144.8,3.09,104488090,33841970,22.5,53,7
2022-03-31,AMC,246.4,1.06,101419084,95444345,21.5,67,14
2022-04-14,AMC,180.2,2.22,99746843,44886360,21.0,27,15
2022-04-29,AMC,153.0,3.85,100632363,26133873,18.5,21,13
2022-05-13,AMC,118.1,2.37,108869404,46011134,22.5,47,8
2022-05-31,AMC,143.4,1.98,109829044,55341780,25.0,32,12
2022-06-15,AMC,127.7,2.98,113005857,37870463,27.5,23,19
2022-06-30,AMC,135.5,2.51,101375089,40389287,28.0,26,19
2022-07-15,AMC,153.7,2.52,96155658,38218788,31.0,27,10
2022-07-29,AMC,145.6,2.87,95091742,33099933,24.5,23,14
2022-08-15,AMC,242.1,1.28,89152605,69383841,24.0,48,19
2022-08-31,AMC,91.2,1.81,102882941,56850037,24.0,66,16
2022-09-15,AMC,98.8,3.72,100011800,26913320,16.5,22,21
2022-09-30,AMC,69.7,3.89,98918241,25448389,16.5,20,7
2022-10-14,AMC,60.0,4.02,104360202,25956941,18.5,19,12
2022-10-31,AMC,66.6,5.23,101835976,19486818,16.5,21,12
2022-11-15,AMC,79.5,3.69,111534852,30217469,22.5,28,17
2022-11-30,AMC,72.3,4.45,100109744,22508104,19.5,8,17
2022-12-15,AMC,56.0,3.12,108487434,34743768,16.0,23,24
2022-12-30,AMC,40.7,4.08,113442490,27793689,26.5,46,10
2023-01-13,AMC,50.6,4.76,116364530,24449751,21.5,19,16
2023-01-31,AMC,53.5,3.49,118266052,33924264,17.5,23,13
2023-02-15,AMC,51.7,3.17,131637788,41570955,19.0,32,19
2023-02-28,AMC,71.4,2.0,125961266,62942093,19.5,25,9
2023-03-15,AMC,42.1,4.45,127209002,28580783,21.0,29,16
2023-03-31,AMC,50.1,5.0,138836691,27747225,19.5,32,7
2023-04-14,AMC,51.2,2.85,137465578,48170947,25.0,30,19
2023-04-28,AMC,55.0,7.58,134013830,17671690,19.5,12,11
2023-05-15,AMC,51.4,5.69,105904172,18627601,18.5,37,15
2023-05-31,AMC,45.0,8.77,116800869,13319845,27.0,14,8
2023-06-15,AMC,47.6,8.49,122085549,14378134,28.0,14,20
2023-06-30,AMC,44.0,7.33,148695965,20290947,23.5,15,29
2023-07-14,AMC,43.3,7.61,150001144,19705749,28.5,18,21
2023-07-31,AMC,49.7,2.5,137785569,55196616,42.5,77,16
2023-08-15,AMC,36.8,3.87,150955613,38997724,26.0,56,7
2023-08-31,AMC,12.55,1.08,23211862,21407327,28.0,49,7
2023-09-15,AMC,8.36,1.0,22146199,38128663,19.5,58,12
2023-09-29,AMC,7.99,1.0,17160338,17979417,15.5,34,10
2023-10-13,AMC,9.5,1.0,15402984,24433045,20.5,51,9
2023-10-31,AMC,10.68,1.12,18524828,16505451,18.5,45,15
2023-11-15,AMC,7.89,1.0,22796630,23444896,18.0,39,14
2023-11-30,AMC,6.65,1.24,22600273,18228674,20.0,21,9
2023-12-15,AMC,6.65,1.0,18302923,21354140,17.5,22,7
2023-12-29,AMC,6.12,1.28,23283624,18149342,26.5,11,11
2024-01-12,AMC,4.56,1.35,24104314,17869237,21.0,25,10
2024-01-31,AMC,4.05,2.18,28620993,13121389,14.5,25,8
2024-02-15,AMC,4.89,2.0,29359675,14667131,15.5,17,3
2024-02-29,AMC,4.32,2.17,31750252,14615808,17.5,22,10
2024-03-15,AMC,4.44,2.73,36329391,13305821,18.0,16,4
2024-03-28,AMC,3.72,3.18,42191492,13274758,18.5,14,10
2024-04-15,AMC,2.47,2.79,50685424,18166542,15.0,22,7
2024-04-30,AMC,2.93,2.78,55449039,19942711,14.5,26,9
2024-05-15,AMC,5.48,1.0,56731489,152872883,22.5,81,13
2024-05-31,AMC,4.33,1.0,58201931,65038643,19.5,50,18
2024-06-14,AMC,4.99,1.0,52945480,73137385,25.0,41,16
2024-06-28,AMC,4.98,2.28,53873669,23654709,27.5,30,7
2024-07-15,AMC,5.33,2.9,53744937,18516004,21.5,22,10
2024-07-31,AMC,5.31,2.69,51900469,19306368,28.5,31,8
2024-08-15,AMC,5.13,4.22,51247216,12141762,23.5,23,7
2024-08-30,AMC,4.82,6.27,50656601,8077030,18.0,9,11
2024-09-13,AMC,4.96,6.4,50439747,7878562,17.5,3,17
2024-09-30,AMC,4.55,5.14,57177199,11129825,14.5,7,15
2024-10-15,AMC,4.15,7.23,52759376,7300672,15.0,8,8
2024-10-31,AMC,4.39,8.12,48610057,5988686,14.0,6,7
2024-11-15,AMC,4.48,3.52,49811860,14152186,14.0,18,10
2024-11-29,AMC,4.95,3.47,49455853,14254701,27.0,7,16
2024-12-13,AMC,4.18,2.53,53045291,21000202,17.5,12,22
2024-12-31,AMC,3.98,3.26,48723373,14936634,25.5,4,20
2025-01-15,AMC,3.51,3.52,46280261,13161769,14.0,2,16
2025-01-31,AMC,3.11,3.72,37768952,10148410,13.5,8,14
2025-02-14,AMC,3.55,3.84,37539547,9763358,14.5,8,11
2025-02-28,AMC,3.3,3.55,37924295,10673953,15.0,12,7
2025-03-14,AMC,2.9,4.95,39225652,7929236,11.0,5,15
2025-03-31,AMC,2.87,6.33,48494766,7655672,14.5,9,12
2025-04-15,AMC,2.96,5.99,58484560,9766825,17.0,11,21
2025-04-30,AMC,2.67,9.23,62494313,6772004,19.0,9,18
2025-05-15,AMC,2.81,7.98,64233103,8048638,16.0,14,22
2025-05-30,AMC,3.56,2.99,64208209,21483968,23.5,4,21
2025-06-13,AMC,3.15,7.23,62654172,8663604,18.0,8,11
2025-06-30,AMC,3.1,9.95,64808213,6515191,19.0,6,17
2025-07-15,AMC,3.12,4.05,66220860,16356308,21.5,14,12
2025-07-31,AMC,2.9,3.94,45855389,11636357,21.0,13,37
2025-08-15,AMC,3.0,3.32,46802656,14096866,18.5,28,18
2025-08-29,AMC,2.81,5.85,46757472,7986186,13.0,2,27
2025-09-15,AMC,2.9,4.54,44807553,9876142,18.5,3,9
2020-10-30,AMD,75.29,1.0,47110639,52886759,50.5,47,67342
2020-11-13,AMD,81.43,1.3,60099237,46074549,44.5,28,54777
2020-11-30,AMD,92.66,1.89,62365940,33003392,49.0,15,53747
2020-12-15,AMD,97.12,1.42,55971654,39529419,44.0,24,76703
2020-12-31,AMD,91.71,2.01,60682386,30159260,40.5,32,42867
2021-01-15,AMD,88.21,1.58,71347086,45035302,43.0,45,41085
2021-01-29,AMD,85.64,1.61,78642593,48933716,45.5,43,36235
2021-02-12,AMD,93.77,2.42,80452201,33246616,41.0,23,33459
2021-02-26,AMD,84.51,2.27,79247010,34915695,38.0,15,31727
2021-03-15,AMD,82.5,2.04,83627064,41005199,41.0,32,38659
2021-03-31,AMD,78.5,2.07,81563521,39423266,38.0,23,38348
2021-04-15,AMD,83.01,2.39,82698029,34619160,38.0,33,34028
2021-04-30,AMD,81.62,1.79,85224498,47595706,39.0,48,31720
2021-05-14,AMD,74.59,1.95,84074854,43056227,36.0,22,32709
2021-05-28,AMD,80.08,2.22,84744445,38234910,34.0,32,26644
2021-06-15,AMD,80.47,2.93,86883692,29623496,34.5,27,43411
2021-06-30,AMD,93.93,2.01,88560782,44100857,38.5,42,28746
2021-07-15,AMD,86.93,2.11,86903996,41224004,37.0,33,35121
2021-07-30,AMD,106.19,1.35,89134119,65908626,39.0,56,35881
2021-08-13,AMD,110.55,1.0,70574877,126079676,41.5,58,41665
2021-08-31,AMD,110.72,1.06,64854437,61358936,34.5,37,40994
2021-09-15,AMD,105.6,1.68,62659363,37385504,32.5,26,30389
2021-09-30,AMD,102.9,1.39,62455085,44807397,32.5,37,34417
2021-10-15,AMD,112.12,1.78,69155470,38906857,34.0,30,32756
2021-10-29,AMD,120.23,1.4,70190944,50172840,37.5,40,33361
2021-11-15,AMD,146.49,1.02,75487134,73844397,43.0,43,40992
2021-11-30,AMD,158.37,1.28,71637148,56058651,39.0,26,32981
2021-12-15,AMD,146.5,1.26,69630670,55174489,35.5,33,30230
2021-12-31,AMD,143.9,1.22,63109423,51574004,36.5,43,29628
2022-01-14,AMD,136.88,1.0,63839188,70711414,43.0,43,30975
2022-01-31,AMD,114.25,1.0,68305579,93076315,46.5,64,36894
2022-02-15,AMD,121.47,1.0,88709340,118499928,46.0,96,39439
2022-02-28,AMD,123.34,1.0,46205560,123132491,48.0,31,31319
2022-03-15,AMD,109.33,1.0,27776129,108338758,50.0,35,31217
2022-03-31,AMD,109.34,1.0,27435575,105646171,45.5,48,31693
2022-04-14,AMD,93.06,1.0,27423971,90707509,43.0,57,28015
2022-04-29,AMD,85.52,1.0,30359092,81138683,43.0,34,27302
2022-05-13,AMD,95.12,1.0,33469783,143198331,45.5,68,27093
2022-05-31,AMD,101.86,1.0,40384382,133206282,40.5,63,31335
2022-06-15,AMD,89.3,1.0,41235227,98143249,44.0,45,25346
2022-06-30,AMD,76.47,1.0,32592109,95089892,44.5,47,24953
2022-07-15,AMD,81.11,1.0,34942372,82880780,43.0,39,24917
2022-07-29,AMD,94.47,1.0,35275192,80398189,43.5,43,73291
2022-08-15,AMD,101.01,1.0,35627850,94637785,44.0,57,65117
2022-08-31,AMD,84.87,1.0,30934716,63364007,42.5,36,35160
2022-09-15,AMD,76.66,1.0,30951736,78002621,35.0,43,35565
2022-09-30,AMD,63.36,1.0,32224203,81481869,38.0,47,44262
2022-10-14,AMD,55.94,1.0,37931309,105273371,37.5,76,34423
